file,datetime,uploaddir,sampratedir
HOF-IW0006S0.dat,2022-03-29 10:21:06,20220330,
HOF-IW0006I0.dat,2022-03-29 10:26:32,20220330,
HOF-IW0006S1.dat,2022-03-29 12:00:00,20220330,
HOF-IW0006I1.dat,2022-03-29 12:00:00,20220330,
HOF-IW0006S2.dat,2022-03-29 16:00:00,20220330,
HOF-IW0006I2.dat,2022-03-29 16:00:00,20220330,
HOF-IW0006I3.dat,2022-03-29 20:00:00,20220330,
HOF-IW0006S3.dat,2022-03-29 20:00:00,20220330,
HOF-IW0006I4.dat,2022-03-30 00:00:00,20220330,
HOF-IW0006S4.dat,2022-03-30 00:00:00,20220330,
HOF-IW0006I5.dat,2022-03-30 04:00:00,20220330,
HOF-IW0006S5.dat,2022-03-30 04:00:00,20220330,
HOF-IW0006I6.dat,2022-03-30 08:00:00,20220330,
HOF-IW0006S6.dat,2022-03-30 08:00:00,20220330,
HOF-IW0006S7.dat,2022-03-30 08:50:46,20220413,
HOF-IW0006S8.dat,2022-03-30 09:41:30,20220413,
HOF-IW0006S9.dat,2022-03-30 09:43:42,20220413,
HOF-IW0006I8.dat,2022-03-30 09:47:06,20220413,
HOF-IW0006I9.dat,2022-03-30 12:00:00,20220413,
HOF-IW0006S10.dat,2022-03-30 12:00:00,20220413,
HOF-IW0006I10.dat,2022-03-30 16:00:00,20220413,
HOF-IW0006S11.dat,2022-03-30 16:00:00,20220413,
HOF-IW0006I11.dat,2022-03-30 20:00:00,20220413,
HOF-IW0006S12.dat,2022-03-30 20:00:00,20220413,
HOF-IW0006S13.dat,2022-03-31 00:00:00,20220413,
HOF-IW0006I12.dat,2022-03-31 00:00:00,20220413,
HOF-IW0006I13.dat,2022-03-31 04:00:00,20220413,
HOF-IW0006S14.dat,2022-03-31 04:00:00,20220413,
HOF-IW0006S15.dat,2022-03-31 08:00:00,20220413,
HOF-IW0006I14.dat,2022-03-31 08:00:00,20220413,
HOF-IW0006I15.dat,2022-03-31 12:00:00,20220413,
HOF-IW0006S16.dat,2022-03-31 12:00:00,20220413,
HOF-IW0006I16.dat,2022-03-31 16:00:00,20220413,
HOF-IW0006S17.dat,2022-03-31 16:00:00,20220413,
HOF-IW0006I17.dat,2022-03-31 20:00:00,20220413,
HOF-IW0006S18.dat,2022-03-31 20:00:00,20220413,
HOF-IW0006S19.dat,2022-04-01 00:00:00,20220413,
HOF-IW0006I18.dat,2022-04-01 00:00:00,20220413,
HOF-IW0006I19.dat,2022-04-01 04:00:00,20220413,
HOF-IW0006S20.dat,2022-04-01 04:00:00,20220413,
HOF-IW0006I20.dat,2022-04-01 08:00:00,20220413,
HOF-IW0006S21.dat,2022-04-01 08:00:00,20220413,
HOF-IW0006S22.dat,2022-04-01 12:00:00,20220413,
HOF-IW0006I21.dat,2022-04-01 12:00:00,20220413,
HOF-IW0006I22.dat,2022-04-01 16:00:00,20220413,
HOF-IW0006S23.dat,2022-04-01 16:00:00,20220413,
HOF-IW0006S24.dat,2022-04-01 20:00:00,20220413,
HOF-IW0006I23.dat,2022-04-01 20:00:00,20220413,
HOF-IW0006S25.dat,2022-04-02 00:00:00,20220413,
HOF-IW0006I24.dat,2022-04-02 00:00:00,20220413,
HOF-IW0006I25.dat,2022-04-02 04:00:00,20220413,
HOF-IW0006S26.dat,2022-04-02 04:00:00,20220413,
HOF-IW0006S27.dat,2022-04-02 08:00:00,20220413,
HOF-IW0006I26.dat,2022-04-02 08:00:00,20220413,
HOF-IW0006S28.dat,2022-04-02 12:00:00,20220413,
HOF-IW0006I27.dat,2022-04-02 12:00:00,20220413,
HOF-IW0006I28.dat,2022-04-02 16:00:00,20220413,
HOF-IW0006S29.dat,2022-04-02 16:00:00,20220413,
HOF-IW0006I29.dat,2022-04-02 20:00:00,20220413,
HOF-IW0006S30.dat,2022-04-02 20:00:00,20220413,
HOF-IW0006I30.dat,2022-04-03 00:00:00,20220413,
HOF-IW0006S31.dat,2022-04-03 00:00:00,20220413,
HOF-IW0006I31.dat,2022-04-03 04:00:00,20220413,
HOF-IW0006S32.dat,2022-04-03 04:00:00,20220413,
HOF-IW0006I32.dat,2022-04-03 08:00:00,20220413,
HOF-IW0006S33.dat,2022-04-03 08:00:00,20220413,
HOF-IW0006S34.dat,2022-04-03 12:00:00,20220413,
HOF-IW0006I33.dat,2022-04-03 12:00:00,20220413,
HOF-IW0006I34.dat,2022-04-03 16:00:00,20220413,
HOF-IW0006S35.dat,2022-04-03 16:00:00,20220413,
HOF-IW0006S36.dat,2022-04-03 20:00:00,20220413,
HOF-IW0006I35.dat,2022-04-03 20:00:00,20220413,
HOF-IW0006S37.dat,2022-04-04 00:00:00,20220413,
HOF-IW0006I36.dat,2022-04-04 00:00:00,20220413,
HOF-IW0006S38.dat,2022-04-04 04:00:00,20220413,
HOF-IW0006I37.dat,2022-04-04 04:00:00,20220413,
HOF-IW0006S39.dat,2022-04-04 08:00:00,20220413,
HOF-IW0006I38.dat,2022-04-04 08:00:00,20220413,
HOF-IW0006S40.dat,2022-04-04 12:00:00,20220413,
HOF-IW0006I39.dat,2022-04-04 12:00:00,20220413,
HOF-IW0006S41.dat,2022-04-04 16:00:00,20220413,
HOF-IW0006I40.dat,2022-04-04 16:00:00,20220413,
HOF-IW0006S42.dat,2022-04-04 20:00:00,20220413,
HOF-IW0006I41.dat,2022-04-04 20:00:00,20220413,
HOF-IW0006S43.dat,2022-04-05 00:00:00,20220413,
HOF-IW0006I42.dat,2022-04-05 00:00:00,20220413,
HOF-IW0006S44.dat,2022-04-05 04:00:00,20220413,
HOF-IW0006I43.dat,2022-04-05 04:00:00,20220413,
HOF-IW0006S45.dat,2022-04-05 08:00:00,20220413,
HOF-IW0006I44.dat,2022-04-05 08:00:00,20220413,
HOF-IW0006I45.dat,2022-04-05 12:00:00,20220413,
HOF-IW0006S46.dat,2022-04-05 12:00:00,20220413,
HOF-IW0006S47.dat,2022-04-05 16:00:00,20220413,
HOF-IW0006I46.dat,2022-04-05 16:00:00,20220413,
HOF-IW0006S48.dat,2022-04-05 20:00:00,20220413,
HOF-IW0006I47.dat,2022-04-05 20:00:00,20220413,
