file,datetime,uploaddir,sampratedir
20hz_Sensors_1Sec0.dat,2022-07-21 13:49:22,20220826,20hz
20hz_Sensors_20Hz0.dat,2022-07-21 13:49:22,20220826,20hz
20hz_Sensors_20Hz1.dat,2022-07-21 16:00:00,20220826,20hz
100hz_Baro_Sensors1.dat,2022-07-21 16:00:00,20220826,Baro
20hz_Sensors_1Sec1.dat,2022-07-21 16:00:00,20220826,20hz
100hz_Baro_Sensors2.dat,2022-07-21 20:00:00,20220826,Baro
20hz_Sensors_20Hz2.dat,2022-07-21 20:00:00,20220826,20hz
20hz_Sensors_1Sec2.dat,2022-07-21 20:00:00,20220826,20hz
100hz_Baro_Sensors3.dat,2022-07-22 00:00:00,20220826,Baro
20hz_Sensors_20Hz3.dat,2022-07-22 00:00:00,20220826,20hz
20hz_Sensors_1Sec3.dat,2022-07-22 00:00:00,20220826,20hz
20hz_Sensors_1Sec4.dat,2022-07-22 04:00:00,20220826,20hz
20hz_Sensors_20Hz4.dat,2022-07-22 04:00:00,20220826,20hz
100hz_Baro_Sensors4.dat,2022-07-22 04:00:00,20220826,Baro
20hz_Sensors_1Sec5.dat,2022-07-22 08:00:00,20220826,20hz
20hz_Sensors_20Hz5.dat,2022-07-22 08:00:00,20220826,20hz
100hz_Baro_Sensors5.dat,2022-07-22 08:00:00,20220826,Baro
20hz_Sensors_20Hz6.dat,2022-07-22 12:00:00,20220826,20hz
100hz_Baro_Sensors6.dat,2022-07-22 12:00:00,20220826,Baro
20hz_Sensors_1Sec6.dat,2022-07-22 12:00:00,20220826,20hz
20hz_Sensors_1Sec7.dat,2022-07-22 16:00:00,20220826,20hz
20hz_Sensors_20Hz7.dat,2022-07-22 16:00:00,20220826,20hz
100hz_Baro_Sensors7.dat,2022-07-22 16:00:00,20220826,Baro
100hz_Baro_Sensors8.dat,2022-07-22 20:00:00,20220826,Baro
20hz_Sensors_1Sec8.dat,2022-07-22 20:00:00,20220826,20hz
20hz_Sensors_20Hz8.dat,2022-07-22 20:00:00,20220826,20hz
20hz_Sensors_1Sec9.dat,2022-07-23 00:00:00,20220826,20hz
20hz_Sensors_20Hz9.dat,2022-07-23 00:00:00,20220826,20hz
100hz_Baro_Sensors9.dat,2022-07-23 00:00:00,20220826,Baro
100hz_Baro_Sensors10.dat,2022-07-23 04:00:00,20220826,Baro
20hz_Sensors_1Sec10.dat,2022-07-23 04:00:00,20220826,20hz
20hz_Sensors_20Hz10.dat,2022-07-23 04:00:00,20220826,20hz
20hz_Sensors_20Hz11.dat,2022-07-23 08:00:00,20220826,20hz
100hz_Baro_Sensors11.dat,2022-07-23 08:00:00,20220826,Baro
20hz_Sensors_1Sec11.dat,2022-07-23 08:00:00,20220826,20hz
100hz_Baro_Sensors12.dat,2022-07-23 12:00:00,20220826,Baro
20hz_Sensors_1Sec12.dat,2022-07-23 12:00:00,20220826,20hz
