,date,B-E,temperature(C),B-N,B-Z,A-N,latitude,longitude,elevation(m),voltage(V),clockquality%,clockerror(s),numsatellites,antennastatus,status,locking,A-E,A-Z,current(A),inputvoltage(V),buffer%
0,2022-05-26 16:03:00+00:00,3.69317,48.4724,3.69329,3.70308,1.05838,-80.57228,28.57364,-12.0,8.37751,90.41935,-5e-05,9.20645,0.0,0.21935,2.85484,1.07782,1.05838,0.19246,13.34749,100.0
1,2022-05-27 00:00:00+00:00,3.69374,41.00565,3.69551,3.70528,1.0587,-80.57228,28.57364,-12.0,8.56917,90.20833,7e-05,9.17083,0.00417,0.17708,2.88333,1.08007,1.05838,0.1945,13.06681,100.0
2,2022-05-28 00:00:00+00:00,3.69411,38.97985,3.69563,3.70502,1.05953,-80.57228,28.57364,-12.0,8.62101,90.27778,6e-05,9.27153,0.00417,0.2,2.86806,1.08098,1.05838,0.19472,13.07517,100.0
3,2022-05-29 00:00:00+00:00,3.69316,40.98482,3.69466,3.70423,1.05988,-80.57228,28.57364,-12.0,8.55325,90.25,9e-05,9.32222,0.00278,0.18611,2.87361,1.08094,1.05838,0.19444,13.07309,100.0
4,2022-05-30 00:00:00+00:00,3.69394,41.40495,3.69546,3.70533,1.06081,-80.57228,28.57364,-12.0,8.54532,90.24306,5e-05,9.11597,0.0,0.1875,2.87986,1.08083,1.05838,0.19416,13.10022,100.0
5,2022-05-31 00:00:00+00:00,3.69329,41.39968,3.6945,3.70432,1.05894,-80.57228,28.57364,-12.0,8.55602,90.29167,6e-05,9.25347,0.0,0.19028,2.87361,1.07992,1.05838,0.19466,13.06141,100.0
6,2022-06-01 00:00:00+00:00,3.69309,39.95516,3.69473,3.70441,1.05859,-80.57228,28.57364,-12.0,8.60575,90.27083,6e-05,9.23264,0.00139,0.175,2.88958,1.07997,1.05838,0.19478,13.04473,100.0
7,2022-06-02 00:00:00+00:00,3.69303,41.03984,3.69432,3.70408,1.0594,-80.57228,28.57364,-12.0,8.55875,90.29167,0.00013,9.20972,0.00139,0.19375,2.87083,1.08054,1.05838,0.19527,13.04125,100.0
8,2022-06-03 00:00:00+00:00,3.6932,38.86997,3.695,3.70438,1.06038,-80.57228,28.57364,-12.0,8.61645,90.21528,7e-05,9.25694,0.00417,0.18264,2.87292,1.08082,1.05838,0.19433,13.06098,100.0
9,2022-06-04 00:00:00+00:00,3.69411,34.39583,3.69594,3.70419,1.0632,-80.57228,28.57364,-12.0,8.6936,90.16667,0.00013,9.35833,0.0,0.14722,2.89444,1.08587,1.05838,0.1936,13.02665,100.0
10,2022-06-05 00:00:00+00:00,3.69291,38.12941,3.69464,3.7037,1.06171,-80.57228,28.57364,-12.0,8.63574,90.20139,0.0001,9.27431,0.00139,0.15903,2.89236,1.08266,1.05838,0.19381,13.05512,100.0
11,2022-06-06 00:00:00+00:00,3.69266,38.38691,3.69388,3.70351,1.05927,-80.57228,28.57364,-12.0,8.63677,90.24306,7e-05,9.20208,0.00417,0.18194,2.87986,1.08094,1.05838,0.1943,13.03478,100.0
