,date,A-Z,B-E,B-Z,B-N,A-N,A-E,current(A),inputvoltage(V),latitude,longitude,elevation(m),voltage(V),clockquality%,clockerror(s),numsatellites,antennastatus,status,locking,buffer%,temperature(C)
0,2022-04-01 19:01:00+00:00,1.47606,1.14556,1.13616,1.11672,1.48637,1.48552,0.14844,13.12617,-80.60087,28.60548,-13.0,9.36702,90.33445,3e-05,8.25753,0.0,0.19064,2.8796,4.74068,40.79349
1,2022-04-02 00:00:00+00:00,1.79433,1.14569,1.13616,1.11672,1.78596,1.78556,0.14896,12.78535,-80.60087,28.60548,-13.0,9.39522,90.15278,8e-05,8.3875,0.0,0.17292,2.88194,5.65104,36.23983
2,2022-04-03 00:00:00+00:00,1.84395,1.14576,1.13616,1.11672,1.83505,1.83503,0.14751,12.83191,-80.60087,28.60548,-13.0,9.39636,90.13889,0.0001,9.19444,0.0,0.14653,2.89722,7.24062,34.29948
3,2022-04-04 00:00:00+00:00,1.83542,1.14556,1.13616,1.11672,1.82618,1.8267,0.14756,12.88024,-80.60087,28.60548,-13.0,9.36689,90.15278,7e-05,9.075,0.0,0.16042,2.89306,8.75521,35.11665
4,2022-04-05 00:00:00+00:00,1.80301,1.14558,1.13616,1.11672,1.79449,1.79427,0.14777,12.8752,-80.60087,28.60548,-13.0,9.37913,90.16667,7e-05,9.22083,0.0,0.16181,2.89167,10.32222,37.1047
5,2022-04-06 00:00:00+00:00,1.79068,1.14555,1.13616,1.11672,1.7822,1.78189,0.14805,12.87346,-80.60087,28.60548,-13.0,9.37099,90.13194,6e-05,9.22847,0.0,0.15208,2.89514,11.94306,38.68802
6,2022-04-07 00:00:00+00:00,1.79085,1.14582,1.13616,1.11672,1.78237,1.78226,0.14776,12.8178,-80.60087,28.60548,-13.0,9.39814,90.06944,7e-05,9.28889,0.0,0.13611,2.90556,13.55868,35.92521
7,2022-04-08 00:00:00+00:00,1.84264,1.14583,1.13616,1.11672,1.8342,1.8344,0.14642,12.92118,-80.60087,28.60548,-13.0,9.38991,90.08333,7e-05,9.08542,0.0,0.14514,2.89861,15.22604,33.73186
8,2022-04-09 00:00:00+00:00,1.88497,1.14585,1.13641,1.11672,1.8764,1.87706,0.1461,12.95842,-80.60087,28.60548,-13.0,9.37564,90.17361,8e-05,9.25139,0.0,0.16597,2.88681,16.89375,31.4178
9,2022-04-10 00:00:00+00:00,1.88784,1.14558,1.13901,1.11672,1.87961,1.87942,0.1466,12.91848,-80.60087,28.60548,-13.0,9.33264,90.15972,7e-05,8.16597,0.0,0.16736,2.88542,18.58576,32.11848
10,2022-04-11 00:00:00+00:00,1.85479,1.1456,1.13772,1.11672,1.84564,1.84624,0.14758,12.86741,-80.60087,28.60548,-13.0,9.32488,90.18056,0.0001,8.50139,0.0,0.17778,2.87778,20.09757,34.82108
11,2022-04-12 00:00:00+00:00,1.82358,1.14564,1.13616,1.11672,1.81451,1.81436,0.14788,12.85683,-80.60087,28.60548,-13.0,9.3442,90.13194,8e-05,8.85694,0.0,0.15694,2.89097,21.62222,37.22917
12,2022-04-13 00:00:00+00:00,0.67439,1.14571,1.13616,1.11672,0.65765,0.65537,0.14873,12.85254,-80.60087,28.60548,-13.0,9.34437,90.13194,7e-05,8.71111,0.0,0.16597,2.88819,23.18681,37.65947
13,2022-04-14 00:00:00+00:00,-0.87068,1.14579,1.13616,1.11672,-0.89305,-0.89794,0.1491,12.82781,-80.60087,28.60548,-13.0,9.32475,90.21528,8e-05,8.44931,0.0,0.17778,2.88264,24.72708,39.73132
14,2022-04-15 00:00:00+00:00,-1.39795,1.14567,1.13616,1.11672,-1.42353,-1.42902,0.14848,12.83387,-80.60087,28.60548,-13.0,9.34267,90.13889,0.00011,8.25764,0.0,0.16528,2.88472,26.28229,38.31103
15,2022-04-16 00:00:00+00:00,-1.41038,1.14569,1.13616,1.11672,-1.43774,-1.44335,0.14861,12.79553,-80.60087,28.60548,-13.0,9.32779,90.13194,7e-05,8.56806,0.0,0.15556,2.89236,27.79965,38.82253
16,2022-04-17 00:00:00+00:00,-1.47074,1.1458,1.13616,1.11672,-1.49621,-1.50262,0.14873,12.81961,-80.60087,28.60548,-13.0,9.32485,90.15278,6e-05,8.53194,0.0,0.16667,2.8875,29.30174,39.49766
17,2022-04-18 00:00:00+00:00,-1.49655,1.14576,1.13616,1.11672,-1.52208,-1.52785,0.14895,12.82782,-80.60087,28.60548,-13.0,9.3203,90.16667,7e-05,9.15278,0.0,0.16181,2.88889,30.83889,40.16078
18,2022-04-19 00:00:00+00:00,-1.46496,1.14575,1.13616,1.11672,-1.49034,-1.49545,0.14758,12.90276,-80.60087,28.60548,-13.0,9.34206,90.125,6e-05,8.73819,0.0,0.15625,2.89722,32.45347,37.08376
19,2022-04-20 00:00:00+00:00,-1.41125,1.14585,1.13616,1.11672,-1.43567,-1.44147,0.14732,12.88993,-80.60087,28.60548,-13.0,9.34154,90.16667,5e-05,8.46042,0.0,0.16597,2.89028,34.1625,34.22744
20,2022-04-21 00:00:00+00:00,-1.53248,1.14579,1.13616,1.11672,-1.55855,-1.56408,0.14843,12.85474,-80.60087,28.60548,-13.0,9.34362,90.10417,8e-05,8.30556,0.0,0.14861,2.89375,35.9684,35.97189
21,2022-04-22 00:00:00+00:00,-1.59976,1.14573,1.13616,1.11672,-1.62635,-1.63171,0.14761,12.85246,-80.60087,28.60548,-13.0,9.34037,90.10417,0.00011,8.74028,0.0,0.15556,2.88958,37.76389,36.13623
22,2022-04-23 00:00:00+00:00,-1.59411,1.14573,1.13616,1.11672,-1.61993,-1.62639,0.14768,12.85715,-80.60087,28.60548,-13.0,9.32596,90.11111,7e-05,8.84653,0.0,0.14444,2.90417,39.47257,37.18568
23,2022-04-24 00:00:00+00:00,-1.66694,1.14569,1.13616,1.11672,-1.69392,-1.70078,0.14852,12.84309,-80.60087,28.60548,-13.0,9.31035,90.11111,7e-05,8.90347,0.0,0.15833,2.88889,41.08681,39.14365
24,2022-04-25 00:00:00+00:00,-1.73306,1.14581,1.13616,1.11672,-1.76024,-1.76713,0.1489,12.80543,-80.60087,28.60548,-13.0,9.29323,90.11111,7e-05,8.76806,0.0,0.15486,2.89028,42.65174,40.71151
