,date,buffer%,A-Z,B-E,B-Z,B-N,A-N,A-E,elevation(m),latitude,longitude,voltage(V),clockquality%,clockerror(s),numsatellites,antennastatus,status,locking,current(A),inputvoltage(V),temperature(C)
0,2022-03-30 17:25:00+00:00,3.03165,-2.18681,1.08718,1.08755,1.09727,-2.18163,-2.18072,-20.0,-80.60075,28.60498,8.6533,90.40404,4e-05,8.4596,0.0,0.22475,2.85859,0.15057,13.11536,44.18634
1,2022-03-31 00:00:00+00:00,3.90174,-2.24723,1.08755,1.09152,1.09727,-2.24019,-2.23946,-20.0,-80.60075,28.60498,8.81451,90.25694,5e-05,8.80208,0.0,0.18056,2.88542,0.15043,12.46498,36.48103
2,2022-04-01 00:00:00+00:00,5.24062,-2.24728,1.08755,1.09173,1.09727,-2.23806,-2.23793,-20.0,-80.60075,28.60498,8.84123,90.1875,5e-05,8.78958,0.0,0.15694,2.89792,0.14899,12.40024,34.92951
3,2022-04-02 00:00:00+00:00,6.51111,-2.24131,1.08755,1.0936,1.09727,-2.23637,-2.23605,-20.0,-80.60075,28.60498,8.84068,90.32639,5e-05,8.71944,0.0,0.20139,2.86875,0.15268,12.23811,34.57163
4,2022-04-03 00:00:00+00:00,7.75938,-2.30441,1.08755,1.09419,1.0978,-2.29715,-2.2965,-20.0,-80.60075,28.60498,8.87583,90.24306,9e-05,8.90903,0.0,0.16528,2.89097,0.15179,12.30265,32.28801
5,2022-04-04 00:00:00+00:00,8.95,-2.30629,1.09132,1.09321,1.10198,-2.29797,-2.29753,-20.0,-80.60075,28.60498,8.85415,90.28472,6e-05,8.89861,0.0,0.19653,2.86875,0.15071,12.5163,32.42255
6,2022-04-05 00:00:00+00:00,10.24722,-2.30394,1.08755,1.09221,1.09727,-2.29627,-2.29609,-20.0,-80.60075,28.60498,8.79059,90.1875,8e-05,8.81181,0.0,0.17014,2.88264,0.15216,12.38224,36.58849
7,2022-04-06 00:00:00+00:00,11.59236,-2.31049,1.08755,1.08897,1.09727,-2.30218,-2.30182,-20.0,-80.60075,28.60498,8.76275,90.24306,9e-05,8.85417,0.0,0.18056,2.87708,0.15272,12.35024,38.16881
8,2022-04-07 00:00:00+00:00,12.85833,-2.31835,1.08755,1.08931,1.09727,-2.31329,-2.31204,-20.0,-80.60075,28.60498,8.82568,90.30556,7e-05,8.78611,0.0,0.17708,2.8875,0.15615,12.17416,35.34779
9,2022-04-08 00:00:00+00:00,14.20382,-2.31677,1.08954,1.09381,1.09982,-2.30903,-2.30833,-20.0,-80.60075,28.60498,8.87188,90.21528,4e-05,8.63194,0.0,0.16597,2.89097,0.15598,12.22833,32.04727
