,date,A-Z,B-Z,longitude,latitude,elevation(m),voltage(V),clockquality%,clockerror(s),numsatellites,antennastatus,status,locking,current(A),inputvoltage(V),buffer%,temperature(C),B-E,B-N,A-N,A-E
0,2022-03-30 19:40:00+00:00,0.50414,1.07782,28.60546,-80.60083,-14.0,8.75296,90.4,2e-05,6.95,0.0,0.2,2.88,0.12795,12.83646,100.0,39.47759,,,,
1,2022-03-31 00:00:00+00:00,0.50414,1.07782,28.60546,-80.60083,-14.0,8.76961,88.08081,1e-05,6.73232,0.0,0.24242,2.79798,0.12713,12.95805,100.0,36.51718,1.07198,1.0681,0.50414,0.52359
2,2022-04-01 00:00:00+00:00,1.05838,1.07782,28.60546,-80.60083,-14.0,8.75503,90.09901,5e-05,8.75248,0.0,0.28218,2.80198,0.13109,13.11567,100.0,36.59355,1.07065,1.0681,1.05847,1.08124
3,2022-04-02 00:00:00+00:00,1.05838,1.08073,28.60546,-80.60083,-14.0,8.79262,90.21528,6e-05,9.23264,0.0,0.17639,2.88542,0.13012,12.94194,100.0,34.15701,1.07506,1.0681,1.06462,1.08489
4,2022-04-03 00:00:00+00:00,1.05838,1.08294,28.60546,-80.60083,-14.0,8.81642,90.21528,9e-05,9.32847,0.0,0.16181,2.89236,0.12941,12.96691,100.0,32.42036,1.07514,1.0681,1.06493,1.08498
5,2022-04-04 00:00:00+00:00,1.062,1.08299,28.60546,-80.60083,-14.0,8.81045,90.25694,6e-05,9.27361,0.0,0.18542,2.87986,0.12927,13.02833,100.0,32.38296,1.0738,1.07209,1.06378,1.08354
6,2022-04-05 00:00:00+00:00,1.05838,1.07938,28.60546,-80.60083,-14.0,8.75644,90.25694,0.00012,9.24028,0.0,0.17986,2.87847,0.1297,12.99622,100.0,35.86325,1.07331,1.0681,1.06321,1.08309
7,2022-04-06 00:00:00+00:00,1.05838,1.07782,28.60546,-79.76126,-14.0,8.72889,90.24306,0.00011,9.325,0.0,0.17917,2.88125,0.13004,13.01114,100.0,37.49,1.07292,1.0681,1.06129,1.08278
8,2022-04-07 00:00:00+00:00,1.05838,1.07782,28.60546,-80.60083,-14.0,8.77371,90.13194,8e-05,9.29306,0.0,0.14861,2.89792,0.12978,12.95816,100.0,34.85283,1.07473,1.0681,1.06334,1.08456
9,2022-04-08 00:00:00+00:00,1.06013,1.08247,28.60546,-80.60083,-14.0,8.81721,90.20139,0.00011,9.27708,0.0,0.17153,2.87986,0.12882,13.04361,100.0,32.01793,1.07516,1.06996,1.06472,1.08502
10,2022-04-09 00:00:00+00:00,1.06221,1.08346,28.60546,-80.60083,-14.0,8.83611,90.22222,8e-05,9.31458,0.0,0.17917,2.87917,0.1287,13.05112,100.0,30.39107,1.07504,1.07229,1.06481,1.08493
11,2022-04-10 00:00:00+00:00,1.06322,1.08338,28.60546,-80.60083,-14.0,8.82851,90.23611,6e-05,9.16806,0.0,0.1875,2.88194,0.12884,13.04757,100.0,29.31757,1.07441,1.07305,1.06435,1.08424
12,2022-04-11 00:00:00+00:00,1.06289,1.08298,28.60546,-80.60083,-14.0,8.78673,90.22917,6e-05,9.24653,0.0,0.18681,2.87708,0.12955,12.99611,100.0,32.30108,1.07355,1.07277,1.0637,1.08333
13,2022-04-12 00:00:00+00:00,1.05848,1.08234,28.60546,-80.60083,-14.0,8.74988,90.24306,0.00011,9.21806,0.0,0.18819,2.87014,0.13014,12.99122,100.0,35.57734,1.07339,1.06819,1.06345,1.08318
14,2022-04-13 00:00:00+00:00,1.05838,1.08166,28.60546,-80.60083,-14.0,8.73589,90.22222,7e-05,9.10347,0.0,0.17708,2.88472,0.1301,12.99903,100.0,36.31007,1.07335,1.0681,1.06335,1.08314
15,2022-04-14 00:00:00+00:00,1.05838,1.0793,28.60546,-80.60083,-14.0,8.68257,90.22222,8e-05,9.35556,0.0,0.18681,2.87222,0.13035,12.98702,100.0,38.11353,1.07323,1.0681,1.0631,1.083
16,2022-04-15 00:00:00+00:00,1.05838,1.07785,28.60546,-80.60083,-14.0,8.72001,90.21528,0.00011,9.32014,0.0,0.17569,2.88264,0.13003,12.99715,100.0,37.06453,1.07345,1.0681,1.06263,1.08321
17,2022-04-16 00:00:00+00:00,1.05838,1.08097,28.60546,-80.60083,-14.0,8.70384,90.33333,7e-05,9.25417,0.0,0.20278,2.86806,0.13029,12.97853,100.0,37.48185,1.07315,1.0681,1.0631,1.08296
18,2022-04-17 00:00:00+00:00,1.05838,1.07892,28.60546,-80.60083,-14.0,8.67099,90.20833,7e-05,9.25833,0.0,0.17778,2.88333,0.1305,12.95377,100.0,38.30361,1.07314,1.0681,1.06273,1.08295
19,2022-04-18 00:00:00+00:00,1.05838,1.07788,28.60546,-80.60083,-14.0,8.69483,90.26389,0.0001,9.32778,0.0,0.18264,2.88056,0.13004,13.01166,100.0,38.28701,1.07318,1.0681,1.06221,1.08298
20,2022-04-19 00:00:00+00:00,1.05838,1.08053,28.60546,-80.60083,-14.0,8.75565,90.23611,4e-05,9.26667,0.0,0.17431,2.8875,0.12898,13.03548,100.0,34.73267,1.07407,1.0681,1.06351,1.08392
21,2022-04-20 00:00:00+00:00,1.05854,1.0828,28.60546,-80.60083,-14.0,8.7812,90.23611,9e-05,9.16319,0.0,0.17986,2.88194,0.12898,13.04775,100.0,32.85874,1.07467,1.06924,1.06412,1.08454
22,2022-04-21 00:00:00+00:00,1.05838,1.08023,28.60546,-80.60083,-14.0,8.74496,90.21528,4e-05,8.97222,0.0,0.16458,2.89375,0.12974,13.03283,100.0,35.26259,1.07387,1.0681,1.06383,1.08366
